expansion_factor,k,data_size,seed,num_latents,fvu,dead_feature_pct,mean_sparsity,clap_delta,lpaps,interpretability_score,train_time_s
2,8,100,42,128,0.6694396734237671,0.5546875,65.5999984741211,-1.0,-1.0,-1.0,22.15491992700845
2,8,100,123,128,0.6762622594833374,0.5703125,64.0,-1.0,-1.0,-1.0,0.17746220715343952
2,8,100,456,128,0.6724683046340942,0.546875,67.0999984741211,-1.0,-1.0,-1.0,0.12621978111565113
2,8,500,42,128,0.581665575504303,0.0703125,66.55999755859375,-1.0,-1.0,-1.0,0.6106529543176293
2,8,500,123,128,0.5647474527359009,0.0390625,65.23999786376953,-1.0,-1.0,-1.0,0.14823847822844982
2,8,500,456,128,0.5826708078384399,0.0625,67.04000091552734,-1.0,-1.0,-1.0,0.1709532206878066
2,8,1000,42,128,0.5649518370628357,0.0,65.72000122070312,-1.0,-1.0,-1.0,0.15657408349215984
2,8,1000,123,128,0.562950849533081,0.0,65.80999755859375,-1.0,-1.0,-1.0,0.14869069959968328
2,8,1000,456,128,0.577289879322052,0.0234375,66.81999969482422,-1.0,-1.0,-1.0,0.1647805506363511
2,8,5000,42,128,0.5536340212821961,0.0,66.10799639892578,-1.0,-1.0,-1.0,0.15966522507369518
2,8,5000,123,128,0.5481326923370361,0.0,66.12799877929687,-1.0,-1.0,-1.0,0.20772596262395382
2,8,5000,456,128,0.5579276876449585,0.0,65.8919985961914,-1.0,-1.0,-1.0,0.2371424250304699
2,16,100,42,128,0.5325273871421814,0.265625,67.5,-1.0,-1.0,-1.0,0.5456874771043658
2,16,100,123,128,0.5139741897583008,0.3125,64.0999984741211,-1.0,-1.0,-1.0,0.15407740511000156
2,16,100,456,128,0.5465474724769592,0.3203125,66.0999984741211,-1.0,-1.0,-1.0,0.1530872294679284
2,16,500,42,128,0.4559363126754761,0.0,66.15999603271484,-1.0,-1.0,-1.0,0.7081762403249741
2,16,500,123,128,0.42837387323379517,0.0,64.95999908447266,-1.0,-1.0,-1.0,0.19750263448804617
2,16,500,456,128,0.4370954930782318,0.015625,66.54000091552734,-1.0,-1.0,-1.0,0.1644419552758336
2,16,1000,42,128,0.42610877752304077,0.0,65.31999969482422,-1.0,-1.0,-1.0,0.11803516373038292
2,16,1000,123,128,0.4306712746620178,0.0,65.9000015258789,-1.0,-1.0,-1.0,0.1260685222223401
2,16,1000,456,128,0.4381028115749359,0.0,66.13999938964844,-1.0,-1.0,-1.0,0.11508896201848984
2,16,5000,42,128,0.4157340440750122,0.0,65.63999743652344,-1.0,-1.0,-1.0,0.15552485920488834
2,16,5000,123,128,0.4105576503276825,0.0,65.79399682617188,-1.0,-1.0,-1.0,0.17096023727208376
2,16,5000,456,128,0.41967959213256834,0.0,65.40799719238281,-1.0,-1.0,-1.0,0.13661802001297474
2,32,100,42,128,0.40628787875175476,0.0234375,66.80000305175781,-1.0,-1.0,-1.0,0.5392212336882949
2,32,100,123,128,0.36576738953590393,0.109375,64.0999984741211,-1.0,-1.0,-1.0,0.16379764676094055
2,32,100,456,128,0.41679009795188904,0.046875,67.70000457763672,-1.0,-1.0,-1.0,0.17584588285535574
2,32,500,42,128,0.3198390603065491,0.0,66.27999877929688,-1.0,-1.0,-1.0,0.761315937153995
2,32,500,123,128,0.29781898856163025,0.0,64.86000061035156,-1.0,-1.0,-1.0,0.23077150341123343
2,32,500,456,128,0.30663883686065674,0.0,65.5199966430664,-1.0,-1.0,-1.0,0.17688260413706303
2,32,1000,42,128,0.2959880232810974,0.0,65.01000213623047,-1.0,-1.0,-1.0,0.185432949103415
2,32,1000,123,128,0.29857850074768066,0.0,65.62999725341797,-1.0,-1.0,-1.0,0.12681700848042965
2,32,1000,456,128,0.30686238408088684,0.0,65.73999786376953,-1.0,-1.0,-1.0,0.12865310162305832
2,32,5000,42,128,0.28461701560020447,0.0,65.4899995727539,-1.0,-1.0,-1.0,0.15062148310244083
2,32,5000,123,128,0.28247308588027953,0.0,65.6759976196289,-1.0,-1.0,-1.0,0.1637674905359745
2,32,5000,456,128,0.29118180775642394,0.0,65.16399920654297,-1.0,-1.0,-1.0,0.17241750098764896
2,64,100,42,128,0.29867804050445557,0.0,65.5,-1.0,-1.0,-1.0,0.6094451071694493
2,64,100,123,128,0.2757362425327301,0.0078125,64.5999984741211,-1.0,-1.0,-1.0,0.13261801935732365
