concept,window,window_start,css,ci_lower,ci_upper,pvalue,n_prompts,n_wins,significant
drums,0.0-0.2,0.0,1.0,0.26986594878405434,1.0,0.5,1,1,False
drums,0.2-0.4,0.2,1.0,0.26986594878405434,1.0,0.5,1,1,False
drums,0.4-0.6,0.4,1.0,0.26986594878405434,1.0,0.5,1,1,False
drums,0.6-0.8,0.6,1.0,0.26986594878405434,1.0,0.5,1,1,False
drums,0.8-1.0,0.8,1.0,0.26986594878405434,1.0,0.5,1,1,False
jazz,0.0-0.2,0.0,1.0,0.26986594878405434,1.0,0.5,1,1,False
jazz,0.2-0.4,0.2,1.0,0.26986594878405434,1.0,0.5,1,1,False
jazz,0.4-0.6,0.4,1.0,0.26986594878405434,1.0,0.5,1,1,False
jazz,0.6-0.8,0.6,1.0,0.26986594878405434,1.0,0.5,1,1,False
jazz,0.8-1.0,0.8,1.0,0.26986594878405434,1.0,0.5,1,1,False
mood,0.0-0.2,0.0,1.0,0.26986594878405434,1.0,0.5,1,1,False
mood,0.2-0.4,0.2,1.0,0.26986594878405434,1.0,0.5,1,1,False
mood,0.4-0.6,0.4,1.0,0.26986594878405434,1.0,0.5,1,1,False
mood,0.6-0.8,0.6,1.0,0.26986594878405434,1.0,0.5,1,1,False
mood,0.8-1.0,0.8,0.0,0.0,1.0,1.0,1,0,False
piano,0.0-0.2,0.0,0.0,0.0,1.0,1.0,1,0,False
piano,0.2-0.4,0.2,0.0,0.0,1.0,1.0,1,0,False
piano,0.4-0.6,0.4,0.0,0.0,1.0,1.0,1,0,False
piano,0.6-0.8,0.6,0.0,0.0,1.0,1.0,1,0,False
piano,0.8-1.0,0.8,1.0,0.26986594878405434,1.0,0.5,1,1,False
tempo,0.0-0.2,0.0,0.0,0.0,1.0,1.0,1,0,False
tempo,0.2-0.4,0.2,0.0,0.0,1.0,1.0,1,0,False
tempo,0.4-0.6,0.4,0.0,0.0,1.0,1.0,1,0,False
tempo,0.6-0.8,0.6,0.0,0.0,1.0,1.0,1,0,False
tempo,0.8-1.0,0.8,0.0,0.0,1.0,1.0,1,0,False
