concept,window,window_start,css,ci_lower,ci_upper,pvalue,n_prompts,n_wins,significant
drums,0.0-0.2,0.0,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
drums,0.2-0.4,0.2,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
drums,0.4-0.6,0.4,0.2,0.06855798773753208,1.0,0.9892578125,10,2,False
drums,0.6-0.8,0.5999999999999999,0.5,0.26927182113826725,1.0,0.623046875,10,5,False
drums,0.8-1.0,0.8,0.4,0.19422699187680328,1.0,0.828125,10,4,False
jazz,0.0-0.2,0.0,0.6,0.35163859786012186,1.0,0.376953125,10,6,False
jazz,0.2-0.4,0.2,0.4,0.19422699187680328,1.0,0.828125,10,4,False
jazz,0.4-0.6,0.4,0.7,0.4416997958698351,1.0,0.171875,10,7,False
jazz,0.6-0.8,0.5999999999999999,0.6,0.35163859786012186,1.0,0.376953125,10,6,False
jazz,0.8-1.0,0.8,0.7,0.4416997958698351,1.0,0.171875,10,7,False
mood,0.0-0.2,0.0,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
mood,0.2-0.4,0.2,0.2,0.06855798773753208,1.0,0.9892578125,10,2,False
mood,0.4-0.6,0.4,0.4,0.19422699187680328,1.0,0.828125,10,4,False
mood,0.6-0.8,0.5999999999999999,0.6,0.35163859786012186,1.0,0.376953125,10,6,False
mood,0.8-1.0,0.8,0.6,0.35163859786012186,1.0,0.376953125,10,6,False
piano,0.0-0.2,0.0,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
piano,0.2-0.4,0.2,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
piano,0.4-0.6,0.4,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
piano,0.6-0.8,0.5999999999999999,0.5,0.26927182113826725,1.0,0.623046875,10,5,False
piano,0.8-1.0,0.8,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
tempo,0.0-0.2,0.0,0.5,0.26927182113826725,1.0,0.623046875,10,5,False
tempo,0.2-0.4,0.2,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
tempo,0.4-0.6,0.4,0.4,0.19422699187680328,1.0,0.828125,10,4,False
tempo,0.6-0.8,0.5999999999999999,0.3,0.1268765839031979,1.0,0.9453125,10,3,False
tempo,0.8-1.0,0.8,0.4,0.19422699187680328,1.0,0.828125,10,4,False
