concept,window,window_start,window_end,clap_steered,clap_unsteered,clap_delta
piano,0.0-0.2,0.0,0.2,0.3511378409493866,0.36379105492389474,-0.012653213974508137
piano,0.2-0.4,0.2,0.4,0.36463159227208564,0.36379105492389474,0.0008405373481908951
piano,0.4-0.6,0.4,0.6,0.3491710013587849,0.36379105492389474,-0.014620053565109814
piano,0.6-0.8,0.6,0.8,0.35376099455116783,0.36379105492389474,-0.010030060372726912
piano,0.8-1.0,0.8,1.0,0.34908290226738187,0.36379105492389474,-0.014708152656512874
tempo,0.0-0.2,0.0,0.2,0.3482358970386484,0.35637251656027896,-0.008136619521630584
tempo,0.2-0.4,0.2,0.4,0.35183468678951274,0.35637251656027896,-0.004537829770766222
tempo,0.4-0.6,0.4,0.6,0.3526842531645234,0.35637251656027896,-0.0036882633957555644
tempo,0.6-0.8,0.6,0.8,0.3328382168844586,0.35637251656027896,-0.02353429967582038
tempo,0.8-1.0,0.8,1.0,0.35647540840549463,0.35637251656027896,0.00010289184521566908
mood,0.0-0.2,0.0,0.2,0.3581225147124867,0.36768357590813217,-0.009561061195645482
mood,0.2-0.4,0.2,0.4,0.35709726129484004,0.36768357590813217,-0.010586314613292125
mood,0.4-0.6,0.4,0.6,0.3496203490469802,0.36768357590813217,-0.01806322686115197
mood,0.6-0.8,0.6,0.8,0.36115469749333956,0.36768357590813217,-0.006528878414792605
mood,0.8-1.0,0.8,1.0,0.3675738261460492,0.36768357590813217,-0.00010974976208294462
drums,0.0-0.2,0.0,0.2,0.3493394769783606,0.3584836971800103,-0.009144220201649678
drums,0.2-0.4,0.2,0.4,0.34739678174553595,0.3584836971800103,-0.01108691543447432
drums,0.4-0.6,0.4,0.6,0.3442265608783088,0.3584836971800103,-0.0142571363017015
drums,0.6-0.8,0.6,0.8,0.35877494259694115,0.3584836971800103,0.00029124541693087425
drums,0.8-1.0,0.8,1.0,0.35589462222649787,0.3584836971800103,-0.0025890749535124047
jazz,0.0-0.2,0.0,0.2,0.3566715757493364,0.349149633579778,0.007521942169558371
jazz,0.2-0.4,0.2,0.4,0.3449235265568322,0.349149633579778,-0.004226107022945791
jazz,0.4-0.6,0.4,0.6,0.3498823666582426,0.349149633579778,0.0007327330784646091
jazz,0.6-0.8,0.6,0.8,0.35574892980184747,0.349149633579778,0.006599296222069451
jazz,0.8-1.0,0.8,1.0,0.35810405481537805,0.349149633579778,0.00895442123560003
