expansion_factor,k,data_size,seed,num_latents,fvu,dead_feature_pct,mean_sparsity,clap_delta,lpaps,interpretability_score,train_time_s
2,8,100,42,128,0.6822299957275391,0.5390625,65.69999694824219,-1.0,-1.0,-1.0,0.3190953329904005
2,8,100,123,128,0.6516546010971069,0.5234375,66.30000305175781,-1.0,-1.0,-1.0,0.09408625005744398
2,8,100,456,128,0.6670206785202026,0.5078125,64.5,-1.0,-1.0,-1.0,0.09274891705717891
2,8,500,42,128,0.5695380568504333,0.046875,66.80000305175781,-1.0,-1.0,-1.0,0.15061825001612306
2,8,500,123,128,0.579671323299408,0.03125,65.66000366210938,-1.0,-1.0,-1.0,0.11202000000048429
2,8,500,456,128,0.5749930143356323,0.0546875,65.86000061035156,-1.0,-1.0,-1.0,0.2041066250531003
2,8,1000,42,128,0.5637449622154236,0.0,66.20999908447266,-1.0,-1.0,-1.0,0.4845997500233352
2,8,1000,123,128,0.5700307488441467,0.015625,66.62999725341797,-1.0,-1.0,-1.0,0.10917279205750674
2,8,1000,456,128,0.5705049633979797,0.0078125,66.45999908447266,-1.0,-1.0,-1.0,0.12468675000127405
2,8,5000,42,128,0.5449763536453247,0.0,66.14,-1.0,-1.0,-1.0,0.34654566703829914
2,8,5000,123,128,0.5554578976631165,0.0,65.77000146484374,-1.0,-1.0,-1.0,0.10673524998128414
2,8,5000,456,128,0.5483625373840332,0.0,65.82799896240235,-1.0,-1.0,-1.0,0.11402187496423721
2,16,100,42,128,0.5092187523841858,0.296875,65.69999694824219,-1.0,-1.0,-1.0,0.12920474994461983
2,16,100,123,128,0.5234381556510925,0.2890625,67.0,-1.0,-1.0,-1.0,0.09393945790361613
2,16,100,456,128,0.5273681879043579,0.265625,62.900001525878906,-1.0,-1.0,-1.0,0.0932847079820931
2,16,500,42,128,0.4385017156600952,0.0,66.13999938964844,-1.0,-1.0,-1.0,0.1016123330919072
2,16,500,123,128,0.44821763038635254,0.0078125,64.94000244140625,-1.0,-1.0,-1.0,0.16386483306996524
2,16,500,456,128,0.4286271035671234,0.0078125,66.41999816894531,-1.0,-1.0,-1.0,0.2998079579556361
2,16,1000,42,128,0.4237825870513916,0.0,65.87999725341797,-1.0,-1.0,-1.0,0.3106197089655325
2,16,1000,123,128,0.430621474981308,0.0,66.26000213623047,-1.0,-1.0,-1.0,0.25647116696927696
2,16,1000,456,128,0.43973052501678467,0.0,66.05999755859375,-1.0,-1.0,-1.0,0.23312066704966128
2,16,5000,42,128,0.40615440273284914,0.0,65.82200170898437,-1.0,-1.0,-1.0,0.2997229170287028
2,16,5000,123,128,0.4175402796268463,0.0,65.59000030517578,-1.0,-1.0,-1.0,0.2322210829006508
2,16,5000,456,128,0.4120676817893982,0.0,65.49199829101562,-1.0,-1.0,-1.0,0.22122791700530797
2,32,100,42,128,0.39277830719947815,0.0546875,65.19999694824219,-1.0,-1.0,-1.0,0.16775412496645004
2,32,100,123,128,0.41191110014915466,0.046875,67.0,-1.0,-1.0,-1.0,0.09347670897841454
2,32,100,456,128,0.35858455300331116,0.0546875,63.599998474121094,-1.0,-1.0,-1.0,0.09232733293902129
2,32,500,42,128,0.29852378368377686,0.0,65.31999969482422,-1.0,-1.0,-1.0,0.1021153749898076
2,32,500,123,128,0.3150511682033539,0.0,65.54000091552734,-1.0,-1.0,-1.0,0.1391015419503674
2,32,500,456,128,0.3035961985588074,0.0,65.77999877929688,-1.0,-1.0,-1.0,0.20462820795364678
2,32,1000,42,128,0.29708755016326904,0.0,65.52999877929688,-1.0,-1.0,-1.0,0.24533391604200006
2,32,1000,123,128,0.2975865602493286,0.0,65.94999694824219,-1.0,-1.0,-1.0,0.2560452080797404
2,32,1000,456,128,0.3003440797328949,0.0,65.72000122070312,-1.0,-1.0,-1.0,0.29680070793256164
2,32,5000,42,128,0.28372463083267213,0.0,65.55400164794922,-1.0,-1.0,-1.0,0.3412737080361694
2,32,5000,123,128,0.29056129693984983,0.0,65.42600061035157,-1.0,-1.0,-1.0,0.29348687489982694
2,32,5000,456,128,0.28719480061531066,0.0,65.11200128173829,-1.0,-1.0,-1.0,0.5186483750585467
2,64,100,42,128,0.29624712467193604,0.0078125,65.5,-1.0,-1.0,-1.0,0.18727762496564537
2,64,100,123,128,0.30131033062934875,0.0,66.69999694824219,-1.0,-1.0,-1.0,0.09191220800857991
2,64,100,456,128,0.2833891212940216,0.0,63.5,-1.0,-1.0,-1.0,0.09280412492807955
2,64,500,42,128,0.22050796449184418,0.0,65.9000015258789,-1.0,-1.0,-1.0,0.10016195802018046
2,64,500,123,128,0.2205885946750641,0.0,65.4800033569336,-1.0,-1.0,-1.0,0.13156624999828637
2,64,500,456,128,0.21732528507709503,0.0,66.4800033569336,-1.0,-1.0,-1.0,0.504697332973592
2,64,1000,42,128,0.21379771828651428,0.0,65.69999694824219,-1.0,-1.0,-1.0,0.5119163329945877
2,64,1000,123,128,0.21293386816978455,0.0,66.44000244140625,-1.0,-1.0,-1.0,0.5226771669695154
2,64,1000,456,128,0.2124912589788437,0.0,66.44000244140625,-1.0,-1.0,-1.0,0.4082653330406174
2,64,5000,42,128,0.20695412993431092,0.0,65.87400091552735,-1.0,-1.0,-1.0,0.25427525001578033
2,64,5000,123,128,0.20842593050003053,0.0,66.14800115966797,-1.0,-1.0,-1.0,0.23017012502532452
2,64,5000,456,128,0.20731779289245605,0.0,65.7839994506836,-1.0,-1.0,-1.0,0.24886462499853224
2,128,100,42,128,0.29696565866470337,0.0,65.69999694824219,-1.0,-1.0,-1.0,0.17146437498740852
2,128,100,123,128,0.29571041464805603,0.0,67.0,-1.0,-1.0,-1.0,0.09208554204087704
2,128,100,456,128,0.28427064418792725,0.0,63.70000076293945,-1.0,-1.0,-1.0,0.0932525839889422
2,128,500,42,128,0.21863368153572083,0.0,65.87999725341797,-1.0,-1.0,-1.0,0.10255616600625217
2,128,500,123,128,0.21911337971687317,0.0,65.55999755859375,-1.0,-1.0,-1.0,0.22982350003439933
2,128,500,456,128,0.21545833349227905,0.0,66.31999969482422,-1.0,-1.0,-1.0,0.3077424579532817
2,128,1000,42,128,0.21265871822834015,0.0,65.86000061035156,-1.0,-1.0,-1.0,0.3117299999576062
2,128,1000,123,128,0.21105526387691498,0.0,66.5999984741211,-1.0,-1.0,-1.0,0.27980108303017914
2,128,1000,456,128,0.21020106971263885,0.0,66.47000122070312,-1.0,-1.0,-1.0,0.3060900419950485
2,128,5000,42,128,0.20590616452693938,0.0,65.88800091552734,-1.0,-1.0,-1.0,0.3016345000360161
2,128,5000,123,128,0.2070470277070999,0.0,66.1739994506836,-1.0,-1.0,-1.0,0.2870117910206318
2,128,5000,456,128,0.20597106730937959,0.0,65.8160015258789,-1.0,-1.0,-1.0,0.29863529198337346
4,8,100,42,256,0.6271148920059204,0.73828125,133.8000030517578,-1.0,-1.0,-1.0,0.1880674590356648
4,8,100,123,256,0.6211918592453003,0.73046875,131.0,-1.0,-1.0,-1.0,0.08897916693240404
4,8,100,456,256,0.6176553964614868,0.73828125,125.30000305175781,-1.0,-1.0,-1.0,0.08790020796004683
4,8,500,42,256,0.5359346866607666,0.2421875,130.86000061035156,-1.0,-1.0,-1.0,0.11960437498055398
4,8,500,123,256,0.5501161217689514,0.27734375,131.02000427246094,-1.0,-1.0,-1.0,0.10190733300987631
4,8,500,456,256,0.545859694480896,0.23046875,132.60000610351562,-1.0,-1.0,-1.0,0.2010565419914201
4,8,1000,42,256,0.5395289659500122,0.1171875,131.57000732421875,-1.0,-1.0,-1.0,0.28066524991299957
